"KNOW","GEND","ETHN","ORG","TEAM","EXP","EXPSH","GNRL","GEO","number","OUT","raw consist.","PRI consist.","SYM consist"
1,1,0,1,1,1,1,0,1,28,1,0.878826,0.760931,0.771184
1,1,0,1,1,1,1,0,0,21,1,0.885223,0.755134,0.772311
1,1,0,1,1,1,1,1,0,11,1,0.883789,0.732616,0.732618
1,1,0,1,1,1,0,0,0,6,1,0.87829,0.724682,0.727105
1,1,1,0,1,1,0,0,0,12,1,0.864863,0.717063,0.717063
1,1,1,1,1,1,0,0,1,9,1,0.865935,0.716567,0.721387
1,1,0,1,1,1,0,0,1,2,1,0.861877,0.70943,0.709431
1,1,0,1,1,0,0,0,1,5,1,0.858879,0.708757,0.708757
1,1,0,1,1,0,1,0,1,3,1,0.869903,0.703052,0.703054
1,1,1,1,1,1,0,0,0,6,1,0.863321,0.69774,0.697739
1,1,0,0,1,1,1,0,1,6,1,0.855883,0.692457,0.692461
1,1,1,0,1,1,0,0,1,8,1,0.84049,0.684951,0.685006
1,1,0,0,1,0,0,0,1,20,1,0.819464,0.683191,0.686691
0,0,1,1,1,1,1,1,0,14,1,0.851757,0.681718,0.681717
1,1,1,1,1,0,0,0,0,3,1,0.855327,0.680504,0.680506
1,1,1,0,1,0,0,0,0,21,1,0.823536,0.678804,0.682377
1,1,1,1,1,0,0,0,1,4,1,0.854085,0.676245,0.676244
1,1,1,1,1,0,0,1,0,7,1,0.853909,0.673542,0.675698
1,1,0,1,1,1,0,1,0,8,1,0.852791,0.672193,0.672194
1,1,0,0,1,1,0,0,1,13,1,0.832213,0.671465,0.676737
1,1,0,0,1,0,0,0,0,9,1,0.825666,0.670837,0.673014
1,1,1,0,1,0,0,0,1,30,1,0.806175,0.668515,0.671494
1,1,0,0,1,1,1,0,0,4,1,0.845695,0.664599,0.664603
1,1,0,0,1,0,1,0,0,5,1,0.840664,0.654697,0.654699
1,1,0,0,1,0,1,0,1,3,1,0.84046,0.650921,0.654942
1,1,0,0,1,1,0,0,0,6,1,0.838477,0.650757,0.65076
