"KNOW","GEO","ETHN","TEAM","EXP","GEND","number","OUT","raw consist.","PRI consist.","SYM consist"
1,0,0,1,1,1,62,1,0.843535,0.736687,0.750968
0,0,1,1,1,0,28,1,0.8102,0.654346,0.660558
1,0,1,0,1,1,9,0,0.848213,0.623809,0.631176
0,0,1,1,1,1,16,0,0.835438,0.628047,0.637325
0,0,0,1,1,1,8,0,0.823276,0.566912,0.583944
0,0,1,0,1,1,11,0,0.817507,0.568708,0.572815
0,1,1,1,1,1,15,0,0.815182,0.584413,0.584913
0,1,0,1,1,1,13,0,0.815161,0.597616,0.605129
1,0,1,0,0,1,4,0,0.803641,0.501605,0.502894
1,0,0,0,1,1,12,0,0.799621,0.538136,0.547788
1,1,0,1,1,1,85,0,0.797082,0.666413,0.693002
1,1,0,0,1,1,19,0,0.793381,0.540641,0.550678
1,0,1,1,1,1,96,0,0.790676,0.660996,0.673376
1,1,1,0,1,1,15,0,0.788681,0.505718,0.507802
1,0,0,1,0,1,36,0,0.78779,0.644338,0.651905
0,0,0,0,1,1,17,0,0.786533,0.535097,0.548728
1,1,1,0,0,1,10,0,0.783588,0.492426,0.492429
0,0,0,1,0,1,21,0,0.781328,0.593286,0.59329
0,1,0,1,1,0,6,0,0.774903,0.497984,0.49919
0,1,0,0,1,1,49,0,0.771787,0.569395,0.592752
0,0,1,1,0,1,25,0,0.767819,0.543683,0.554606
0,1,1,1,0,1,40,0,0.765471,0.56528,0.570583
1,0,1,1,0,1,67,0,0.762465,0.61891,0.625662
1,1,1,1,1,1,119,0,0.75315,0.61381,0.631075
1,0,0,0,0,1,11,0,0.75036,0.48398,0.486112
0,0,1,0,0,1,32,0,0.749968,0.503429,0.509793
0,1,1,0,1,1,44,0,0.748815,0.508777,0.523643
1,1,0,0,0,1,24,0,0.747798,0.512294,0.517984
1,1,0,1,0,1,91,0,0.741253,0.606056,0.623526
1,1,1,1,0,1,96,0,0.738435,0.595497,0.608837
0,1,1,1,1,0,12,0,0.733895,0.388082,0.388573
0,0,1,0,1,0,44,0,0.728065,0.503303,0.518436
1,0,1,0,1,0,35,0,0.722069,0.482952,0.484859
0,1,1,0,0,1,58,0,0.718461,0.498686,0.519117
0,1,0,1,0,1,46,0,0.713402,0.523803,0.53231
1,1,1,0,1,0,26,0,0.710608,0.42281,0.430401
1,0,0,1,1,0,45,0,0.709691,0.481504,0.492802
0,0,0,1,1,0,9,0,0.708255,0.350275,0.352316
1,0,1,0,0,0,18,0,0.705372,0.387719,0.394547
1,1,0,1,1,0,66,0,0.701336,0.48879,0.505708
1,0,1,1,1,0,49,0,0.698448,0.469958,0.48018
0,0,0,0,0,1,52,0,0.689318,0.478787,0.497853
0,0,1,1,0,0,17,0,0.686233,0.365521,0.368597
1,0,1,1,0,0,35,0,0.674421,0.409588,0.41833
0,1,0,0,0,1,90,0,0.673086,0.498273,0.528276
1,1,1,1,0,0,64,0,0.67293,0.461328,0.472523
1,1,1,1,1,0,76,0,0.669742,0.444331,0.456392
0,1,1,1,0,0,29,0,0.668227,0.39044,0.395692
0,1,1,0,1,0,74,0,0.656294,0.417784,0.432831
1,1,0,0,1,0,78,0,0.644798,0.424449,0.430624
1,1,1,0,0,0,25,0,0.634566,0.315106,0.317658
0,0,1,0,0,0,63,0,0.629161,0.380342,0.399762
0,1,0,1,0,0,45,0,0.617581,0.38606,0.398975
1,0,0,0,1,0,67,0,0.61613,0.371669,0.376535
0,0,0,0,1,0,142,0,0.614301,0.427884,0.445369
1,0,0,0,0,0,41,0,0.605637,0.36258,0.362996
1,0,0,1,0,0,60,0,0.605157,0.376575,0.385917
1,1,0,1,0,0,83,0,0.598488,0.373165,0.385631
0,1,0,0,1,0,215,0,0.583992,0.420386,0.449273
1,1,0,0,0,0,56,0,0.574602,0.327697,0.330501
0,0,0,1,0,0,40,0,0.565843,0.287246,0.29009
0,1,1,0,0,0,101,0,0.550347,0.337986,0.346319
0,0,0,0,0,0,232,0,0.468774,0.307846,0.321753
0,1,0,0,0,0,380,0,0.41383,0.276201,0.289785
