"ORG","EXPSH","GNRL","KNOW","TEAM","number","OUT","raw consist.","PRI consist.","SYM consist"
1,0,0,1,1,66,1,0.815684,0.702515,0.705682
1,1,0,1,1,170,1,0.804175,0.689568,0.707886
1,0,0,0,1,6,0,0.818817,0.635674,0.635674
1,1,1,0,1,22,0,0.807361,0.604841,0.604841
1,1,0,1,0,28,0,0.805953,0.591617,0.59406
0,1,0,1,0,5,0,0.799333,0.568185,0.568184
1,1,0,0,1,58,0,0.79155,0.627144,0.639427
1,1,1,1,1,103,0,0.756812,0.572713,0.579354
0,1,1,0,1,12,0,0.743676,0.441775,0.443207
0,1,0,1,1,125,0,0.736904,0.5928,0.598411
0,1,1,1,0,12,0,0.736676,0.440788,0.440839
0,0,0,1,1,210,0,0.736073,0.632753,0.647341
1,0,0,1,0,62,0,0.728465,0.547903,0.552997
0,1,1,1,1,62,0,0.709741,0.484657,0.489542
0,0,0,1,0,51,0,0.708568,0.516099,0.518447
0,1,0,0,1,112,0,0.703401,0.521895,0.53671
1,0,0,0,0,173,0,0.700664,0.554394,0.564184
1,1,1,1,0,71,0,0.694779,0.433964,0.436019
0,0,1,0,1,28,0,0.693642,0.458484,0.460173
1,0,1,1,1,188,0,0.689988,0.549564,0.558626
0,1,1,0,0,40,0,0.686947,0.400014,0.400968
0,0,0,0,1,132,0,0.679962,0.539782,0.552916
1,1,0,0,0,321,0,0.663987,0.50504,0.523443
0,0,1,1,1,206,0,0.657738,0.50879,0.527083
1,1,1,0,0,131,0,0.64126,0.397175,0.402076
1,0,1,0,0,116,0,0.636709,0.438348,0.444327
0,0,1,1,0,68,0,0.630794,0.398143,0.401295
1,0,1,1,0,153,0,0.606204,0.408841,0.415209
0,1,0,0,0,245,0,0.598273,0.399514,0.411585
0,0,1,0,0,112,0,0.581279,0.376513,0.382615
0,0,0,0,0,466,0,0.519211,0.387531,0.406048
