"GEO","ORG","EXPSH","GNRL","KNOW","TEAM","number","OUT","raw consist.","PRI consist.","SYM consist"
0,1,0,0,1,1,30,1,0.81122,0.680551,0.681402
1,1,0,0,1,1,36,1,0.807655,0.668387,0.672336
1,1,0,0,0,1,2,0,0.820881,0.619655,0.619655
0,1,1,1,0,1,21,0,0.813293,0.635859,0.635858
0,1,1,0,1,0,9,0,0.808047,0.580729,0.580733
1,1,1,0,1,0,19,0,0.807527,0.558394,0.562119
1,0,1,0,1,0,3,0,0.803266,0.545095,0.545098
0,1,0,0,0,1,4,0,0.800193,0.571313,0.571312
0,0,1,0,1,0,2,0,0.799396,0.541175,0.541176
1,1,1,0,1,1,100,0,0.797607,0.666332,0.683005
1,1,1,0,0,1,24,0,0.793964,0.597182,0.599899
0,1,1,0,1,1,70,0,0.785742,0.635772,0.645979
0,1,1,0,0,1,34,0,0.784563,0.605239,0.622332
0,1,1,1,1,1,59,0,0.775574,0.600457,0.605897
0,0,1,1,1,0,4,0,0.757777,0.453467,0.453569
0,0,1,0,1,1,37,0,0.755199,0.592074,0.592075
1,0,1,1,0,1,8,0,0.75318,0.43073,0.430995
0,0,1,1,0,1,4,0,0.75231,0.439697,0.441904
1,1,1,1,1,1,44,0,0.744656,0.505018,0.510285
0,1,0,0,1,0,22,0,0.742891,0.525973,0.528592
0,0,0,0,1,1,79,0,0.738255,0.614211,0.624731
1,0,0,0,1,1,131,0,0.737739,0.619697,0.633034
0,0,1,1,1,1,23,0,0.736346,0.491557,0.495564
1,0,1,1,1,0,8,0,0.735063,0.40622,0.40622
0,1,1,1,1,0,36,0,0.731093,0.472791,0.473035
1,1,0,0,1,0,40,0,0.727649,0.535223,0.540492
0,0,1,0,0,1,36,0,0.726051,0.515023,0.5191
1,0,1,0,1,1,88,0,0.720537,0.552039,0.558906
0,0,0,0,1,0,21,0,0.720281,0.493384,0.493388
0,1,0,0,0,0,67,0,0.713161,0.531413,0.541486
0,0,1,1,0,0,11,0,0.711918,0.40012,0.40086
0,0,0,1,0,1,12,0,0.710747,0.444264,0.445811
1,0,1,0,0,1,76,0,0.710287,0.51434,0.522689
0,1,0,1,1,1,85,0,0.71027,0.558182,0.564476
1,0,1,1,1,1,39,0,0.707756,0.462156,0.465256
1,0,0,0,1,0,30,0,0.70487,0.491782,0.494904
1,1,0,0,0,0,106,0,0.701141,0.544011,0.550596
1,1,1,1,1,0,35,0,0.692185,0.385405,0.386959
0,1,1,1,0,0,52,0,0.691771,0.446858,0.450352
0,1,1,0,0,0,126,0,0.691233,0.513314,0.531311
1,0,0,1,0,1,16,0,0.689859,0.43545,0.436285
0,0,0,0,0,1,53,0,0.687987,0.516649,0.524465
1,0,0,0,0,1,79,0,0.68746,0.532752,0.543023
1,0,1,1,0,0,29,0,0.68584,0.380849,0.381627
1,1,0,1,1,1,103,0,0.683456,0.513955,0.520232
0,1,0,1,0,0,48,0,0.678306,0.459228,0.466187
0,0,0,1,1,1,67,0,0.670794,0.493038,0.502429
1,1,1,0,0,0,195,0,0.667363,0.488445,0.50271
0,0,0,1,1,0,30,0,0.663041,0.412559,0.414279
1,0,0,1,1,1,139,0,0.662824,0.50055,0.516957
1,1,1,1,0,0,79,0,0.639943,0.366681,0.370614
1,0,0,1,1,0,38,0,0.632614,0.373356,0.37655
1,1,0,1,0,0,68,0,0.629289,0.417343,0.420816
0,0,0,1,0,0,42,0,0.62528,0.390784,0.39532
0,1,0,1,1,0,73,0,0.624561,0.41121,0.417949
1,1,0,1,1,0,80,0,0.620528,0.399574,0.403697
0,0,1,0,0,0,82,0,0.616986,0.367089,0.374858
1,0,1,0,0,0,163,0,0.606767,0.399751,0.411616
1,0,0,1,0,0,70,0,0.58177,0.363501,0.369258
0,0,0,0,0,0,165,0,0.573451,0.410803,0.425398
1,0,0,0,0,0,301,0,0.513529,0.370611,0.386051
