"ORG","GEO","KNOW","EXP","GNRL","number","OUT","raw consist.","PRI consist.","SYM consist"
1,1,1,0,0,4,1,0.833991,0.654115,0.654115
0,1,1,1,0,2,0,0.797306,0.545568,0.577394
0,1,0,1,1,2,0,0.769863,0.568697,0.568826
0,0,0,1,0,2,0,0.768282,0.519582,0.532304
1,0,1,0,0,2,0,0.764683,0.493377,0.493377
1,1,0,1,1,31,0,0.760126,0.667437,0.670864
0,0,1,1,1,10,0,0.759821,0.560135,0.575819
1,1,0,0,0,6,0,0.757083,0.524651,0.531471
0,1,0,1,0,6,0,0.752629,0.53358,0.533581
1,1,1,1,0,6,0,0.749581,0.549014,0.549014
1,1,1,0,1,11,0,0.737187,0.574254,0.574253
1,0,0,1,0,6,0,0.733451,0.558733,0.558733
0,1,1,1,1,13,0,0.7145,0.498672,0.500159
1,0,0,0,0,3,0,0.712219,0.468835,0.468835
1,1,0,0,1,13,0,0.70709,0.535169,0.535168
0,1,1,0,0,8,0,0.701839,0.434717,0.447559
1,0,1,1,0,2,0,0.693033,0.442694,0.442695
1,0,0,0,1,5,0,0.691428,0.467532,0.467533
0,0,1,0,0,8,0,0.680034,0.44167,0.442978
1,1,0,1,0,17,0,0.674012,0.49502,0.498891
0,1,1,0,1,19,0,0.670398,0.478235,0.501285
1,0,0,1,1,16,0,0.66881,0.496553,0.506061
1,0,1,0,1,18,0,0.646745,0.453177,0.453177
0,0,0,0,1,15,0,0.640834,0.475626,0.486396
1,1,1,1,1,27,0,0.637617,0.499819,0.499852
0,0,1,0,1,22,0,0.630269,0.440777,0.450331
0,1,0,0,1,38,0,0.618405,0.46545,0.47499
0,0,0,0,0,53,0,0.566044,0.443694,0.470355
1,0,1,1,1,40,0,0.564561,0.379204,0.392325
0,1,0,0,0,97,0,0.563992,0.459384,0.489191
