"GNRL","KNOW","GEO","ORG","EXPSH","ETHN","number","OUT","raw consist.","PRI consist.","SYM consist"
0,1,1,1,0,0,7,1,0.853076,0.716672,0.716671
1,0,1,1,1,0,11,1,0.822251,0.72594,0.733885
1,1,0,0,1,0,6,0,0.818081,0.637519,0.63752
1,0,1,0,1,1,3,0,0.785923,0.547603,0.552828
0,0,1,1,0,0,7,0,0.780037,0.572027,0.590507
1,1,1,1,0,1,8,0,0.769805,0.61168,0.611681
0,1,0,1,0,0,2,0,0.769623,0.489176,0.489176
1,0,1,1,0,0,26,0,0.767048,0.667424,0.667882
0,1,0,0,0,0,5,0,0.766129,0.552203,0.554407
0,1,1,0,0,0,6,0,0.755028,0.529261,0.553727
0,0,0,1,1,0,6,0,0.752938,0.59177,0.591771
1,0,0,1,1,1,2,0,0.739244,0.407092,0.407091
1,1,0,1,0,1,10,0,0.737631,0.515119,0.563136
1,1,0,1,1,1,2,0,0.735275,0.341447,0.349466
1,1,1,0,0,1,7,0,0.731627,0.550095,0.550096
1,0,1,1,1,1,4,0,0.723993,0.407983,0.407983
0,0,1,0,1,1,10,0,0.719956,0.497194,0.503555
1,1,0,0,1,1,5,0,0.716175,0.336389,0.338684
1,0,1,1,0,1,3,0,0.710251,0.435536,0.435536
1,0,1,0,0,0,15,0,0.707923,0.546573,0.554959
0,0,0,0,1,0,8,0,0.704894,0.511692,0.511691
0,1,1,0,1,1,3,0,0.704548,0.325067,0.338868
1,1,1,0,0,0,16,0,0.701968,0.487907,0.524763
0,0,0,1,0,0,2,0,0.698399,0.383748,0.383748
1,0,0,1,0,0,9,0,0.696582,0.505773,0.505774
1,0,1,0,0,1,3,0,0.695225,0.425612,0.425613
0,0,1,0,0,1,13,0,0.690843,0.491231,0.512802
1,0,0,1,1,0,9,0,0.687243,0.493478,0.502817
1,1,0,0,0,0,15,0,0.681681,0.498577,0.52191
1,1,1,1,0,0,17,0,0.679757,0.516065,0.516206
0,0,0,0,1,1,7,0,0.677909,0.407389,0.425206
1,1,1,1,1,0,12,0,0.670407,0.489698,0.492263
0,0,0,0,0,1,7,0,0.667266,0.413547,0.434916
0,0,1,1,1,0,16,0,0.661713,0.492749,0.492747
1,0,0,0,0,0,13,0,0.661198,0.514286,0.527764
0,1,0,1,1,0,2,0,0.658953,0.371882,0.371883
1,1,1,0,1,1,8,0,0.65136,0.355394,0.360775
0,1,0,0,0,1,2,0,0.644907,0.228269,0.228269
1,0,1,0,1,0,19,0,0.626697,0.436357,0.440054
1,1,0,1,0,0,29,0,0.623217,0.467265,0.476818
0,0,1,0,0,0,54,0,0.615435,0.51349,0.538491
1,1,0,0,0,1,6,0,0.615243,0.31492,0.322168
0,0,0,0,0,0,33,0,0.596703,0.463843,0.496003
0,0,1,0,1,0,26,0,0.583578,0.352437,0.368087
1,1,0,1,1,0,17,0,0.515206,0.233375,0.233375
