"KNOW","GEND","ETHN","ORG","TEAM","EXP","EXPSH","GNRL","GEO","number","OUT","raw consist.","PRI consist.","SYM consist"
0,0,0,1,0,1,1,1,1,8,1,0.862472,0.778609,0.789794
0,0,0,1,0,1,0,1,1,16,1,0.825744,0.750196,0.750507
1,1,0,0,0,0,0,1,1,3,1,0.880258,0.722907,0.736116
1,0,0,1,0,1,0,0,1,2,1,0.877576,0.719653,0.719653
1,0,0,1,0,0,0,0,1,4,1,0.854373,0.707696,0.707696
1,1,0,0,0,0,0,0,1,2,1,0.895004,0.707179,0.726013
0,1,0,1,0,1,1,0,0,2,1,0.864915,0.704539,0.704539
0,0,0,1,0,1,0,0,1,3,1,0.845794,0.669874,0.669873
0,0,1,0,0,1,1,0,1,3,1,0.855224,0.667006,0.667006
1,0,1,0,1,0,0,1,1,3,1,0.828086,0.65998,0.65998
0,1,0,0,0,0,0,1,0,4,1,0.835185,0.659785,0.704688
1,0,0,0,0,0,0,0,0,3,0,0.830432,0.645883,0.645883
0,1,1,0,0,0,1,0,1,2,0,0.8597,0.642504,0.642505
0,1,0,0,0,0,0,1,1,2,0,0.834606,0.64135,0.641349
0,1,1,0,0,0,1,0,0,2,0,0.852116,0.631781,0.631782
1,0,0,1,1,1,0,1,0,4,0,0.817936,0.628778,0.628778
1,1,0,0,1,1,1,1,0,3,0,0.842166,0.628197,0.628196
1,0,1,1,0,0,0,1,1,5,0,0.801119,0.624427,0.624427
0,0,0,1,0,0,0,0,1,3,0,0.813754,0.620349,0.633814
0,0,1,0,0,0,1,1,1,2,0,0.832389,0.613527,0.614686
0,0,0,0,0,0,1,0,0,5,0,0.784544,0.612481,0.612482
1,0,0,1,0,1,0,1,1,6,0,0.759593,0.611296,0.611296
1,0,0,0,1,0,0,1,1,4,0,0.83628,0.605636,0.651588
0,0,0,0,1,0,0,0,1,4,0,0.795766,0.604828,0.604828
0,1,1,0,0,0,0,0,1,2,0,0.818539,0.600301,0.600301
0,0,0,1,0,0,0,1,1,8,0,0.754355,0.596457,0.596457
1,0,0,1,0,0,0,1,1,5,0,0.762373,0.595134,0.595134
0,1,0,0,0,0,0,0,1,5,0,0.790854,0.589796,0.594733
1,0,1,1,0,1,0,1,1,3,0,0.77628,0.58769,0.587689
0,0,0,1,0,0,1,0,1,3,0,0.825359,0.586151,0.586152
0,1,0,0,0,0,0,0,0,3,0,0.802434,0.578494,0.578495
1,0,1,0,0,1,0,1,1,2,0,0.812575,0.572898,0.572897
1,0,0,1,0,1,1,1,1,4,0,0.773864,0.56728,0.567281
0,0,0,1,0,1,1,0,0,3,0,0.763495,0.556128,0.556128
0,0,0,1,0,1,0,1,0,5,0,0.744201,0.552606,0.552606
0,1,0,0,0,1,1,0,1,2,0,0.829686,0.541234,0.541234
1,0,0,0,0,0,0,1,0,3,0,0.736405,0.534812,0.540337
1,0,1,1,1,1,0,1,0,5,0,0.779488,0.531193,0.605724
0,0,0,0,0,0,0,0,1,41,0,0.636321,0.530071,0.55365
