"KNOW","GNRL","TEAM","GEO","EXP","ORG","number","OUT","raw consist.","PRI consist.","SYM consist"
1,0,0,1,0,1,4,1,0.842999,0.673974,0.673974
1,0,0,1,1,1,5,1,0.839242,0.671837,0.671836
1,0,0,1,1,0,2,0,0.809745,0.545116,0.583548
1,0,0,0,0,0,4,0,0.809359,0.61399,0.61699
1,1,0,1,1,0,6,0,0.784621,0.570363,0.573014
0,1,0,1,1,0,2,0,0.783022,0.590185,0.590326
0,0,0,0,1,0,2,0,0.782454,0.543141,0.557114
0,1,0,1,1,1,31,0,0.770495,0.681506,0.685081
0,0,0,1,0,1,6,0,0.76665,0.540002,0.547253
0,0,0,1,1,0,6,0,0.763865,0.551117,0.551116
1,1,1,0,1,0,10,0,0.76072,0.524048,0.54411
0,1,1,0,0,0,2,0,0.75631,0.469777,0.469777
1,0,0,1,0,0,5,0,0.75559,0.495146,0.499044
0,0,0,0,1,1,6,0,0.753887,0.588129,0.58813
1,1,0,1,0,1,10,0,0.745522,0.583981,0.583981
1,1,0,1,0,0,5,0,0.720062,0.509919,0.512281
0,0,0,0,0,1,3,0,0.718417,0.48004,0.48004
1,1,1,1,1,0,7,0,0.717457,0.471707,0.471707
0,1,0,1,0,1,13,0,0.712595,0.54407,0.54407
1,0,1,1,0,0,3,0,0.709561,0.374628,0.391961
1,1,1,0,0,1,6,0,0.708363,0.429662,0.429662
1,1,0,1,1,1,17,0,0.700197,0.556317,0.556317
0,1,0,0,0,1,5,0,0.695812,0.475962,0.475963
1,1,0,0,0,0,7,0,0.689717,0.482149,0.485359
0,0,0,1,1,1,17,0,0.686814,0.511769,0.515916
0,0,1,1,0,0,9,0,0.68655,0.476132,0.48496
1,1,1,1,0,0,14,0,0.684462,0.464315,0.495578
0,1,0,0,1,1,16,0,0.680859,0.512961,0.523115
1,1,1,0,0,0,15,0,0.665641,0.435862,0.447042
1,1,0,0,0,1,12,0,0.663682,0.470994,0.470995
0,1,0,0,0,0,13,0,0.661802,0.493501,0.503865
1,1,1,1,1,1,10,0,0.649613,0.463747,0.463747
1,0,1,0,0,0,4,0,0.649028,0.320517,0.320517
0,1,0,1,0,0,38,0,0.622913,0.473435,0.482226
1,1,0,0,1,1,18,0,0.618123,0.420863,0.426822
0,0,0,0,0,0,47,0,0.616276,0.49399,0.522656
1,1,1,0,1,1,22,0,0.589751,0.362538,0.377392
0,0,1,0,0,0,6,0,0.575872,0.262285,0.262285
0,0,0,1,0,0,88,0,0.569942,0.457408,0.483174
