"KNOW","GEND","ETHN","ORG","TEAM","EXP","EXPSH","GNRL","GEO","OUT"
0.318159462,0.04882796,0.999819238,0.727790773,0.011930458,0.093760803,0.049858773,0.984215186,0.997237569,0.002187788
0.718473358,0.04882796,0.04941561,0.123571694,0.186605497,0.239898037,0.124006993,0.694090149,0.153078158,0.00329336
0.000457966,0.04882796,0.04941561,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0.993432674,0.003778192
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.994932396,0.017987683
0.027307396,0.04882796,0.04941561,0.123571694,0.011930458,0.924335998,0.951380221,0.200721472,0.997237569,0.015920027
0.182963109,0.04882796,0.04941561,0.036697002,0.186605497,0.239898037,0.049858773,0.0031535,0,0.001375918
0.096125878,0.04882796,0.999819238,0.50049074,0.011930458,0.168070283,0.951380221,0.603774561,0.988921472,0.000265696
0.928833603,0.985045072,0.04941561,0.273377444,0.813394503,0.220153791,0.079349513,0.127973366,0.991864982,0
0.019488255,0.04882796,0.04941561,0.01319565,0.988069542,0.034248576,0.049858773,0.062934086,0.99538961,0.00718036
0.084231276,0.04882796,0.04941561,0.036697002,0.186605497,0.040667416,0.049858773,0.307019567,0.995105897,0.012042657
1,0.886901167,0.629218712,0.535483834,1,0.121131304,0.248917311,0.976397816,0.107422907,0.000195476
0.02874827,0.04882796,0.04941561,0.123571694,0.186605497,0.040667416,0.049858773,0.591992504,0,0.332131167
0.934948157,0.04882796,0.950535193,0.273377444,0.813394503,0.050318824,0.079349513,0.54856978,0.997237569,0.000136024
0.00447175,0.04882796,0.04941561,0.50049074,0.011930458,0.126312799,0.951380221,0.033141077,0.00568249,0.000477018
0.668937904,0.04882796,0.04941561,0.837230236,0.186605497,0.762129808,0.049858773,0.987867316,0.997237569,0
0.000457966,0.04882796,0.999819238,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.97075646,0.001047793
0.564597717,0.04882796,0.04941561,0.010187919,0.186605497,0.040667416,0.049858773,0.959529227,0,0.000326448
0.147100528,0.04882796,0.04941561,0.007366108,0.813394503,0.068935855,0.969664256,0.341169184,0.460317132,0.000117782
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.298553183,0.020030144
0.00447175,0.04882796,0.04941561,0.50049074,0.011930458,0.126312799,0.951380221,0.033141077,0.00568249,0.004936978
0.0153539,0.04882796,0.04941561,0.123571694,0.011930458,0.036532291,0.049858773,0.053566354,0.994154017,0.036191336
0.786767454,0.04882796,0.04941561,0.620742933,0.813394503,0.126312799,0.049858773,0.90511333,0.241457124,0
1,0.04882796,0.629218712,0.025541684,1,0.093760803,0.049858773,0.958778771,0.979789867,0
0.576958129,0.04882796,0.04941561,0.123571694,0.011930458,0.355355638,0.049858773,0.224515519,0.292726295,0.03464192
0.100544097,0.04882796,0.04941561,0.950093158,0.011930458,0.621330911,0.049858773,0.005461668,0.995952807,0.000132973
0.000457966,0.04882796,0.04941561,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0.136930792,0.007730198
0.208870594,0.04882796,0.04941561,0.010187919,0.186605497,0.168070283,0.879997206,0.054613111,0.069635705,0.001150225
0.036604613,0.04882796,0.999819238,0.019417107,0.011930458,1,1,0.023534961,0.99411613,0
0.364824762,0.04882796,0.04941561,0.019417107,0.011930458,0.672224769,0.049858773,0.622228165,0.996526749,0.026992723
0.000457966,0.04882796,0.04941561,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0.997237569,0.005679736
0.579726902,0.04882796,0.04941561,0.010187919,0.186605497,0.168070283,0.049858773,0.118187151,0.992571261,0
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.997237569,0.00011997
0.154921803,0.04882796,0.04941561,0.727790773,0.011930458,0.621330911,0.049858773,0.99048253,0.997237569,0
0.000931668,0.995145058,0.04941561,0.010187919,0.186605497,0.032803255,0.124006993,0.000276462,0,0.383805667
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.997237569,0
